Group Email,Privileged
accountadministrators@homeprotech.com,
accountadminsaus@homeprotech.com,
accountadminsdfw@homeprotech.com,
accountadminshou@homeprotech.com,
accountingissues@homeprotech.com,
accountmanagers@homeprotech.com,
accountmanagersaussan@homeprotech.com,
accountmanagersdfw@homeprotech.com,
accountmanagershou@homeprotech.com,
accountsreceivable@homeprotech.com,
adc_updates@homeprotech.com,
advancedservices@homeprotech.com,
alarmpermits@homeprotech.com,
almegadfw@homeprotech.com,
americanlegenddfw@homeprotech.com,
angliahou@homeprotech.com,
ap@homeprotech.com,
appsheet-admin@homeprotech.com,Yes
architecture@homeprotech.com,
arcorrections@homeprotech.com,
areamanagersdfw@homeprotech.com,
asconstruction@homeprotech.com,
ashbysignatureaus@homeprotech.com,
ashtonwoodsaus@homeprotech.com,
ashtonwoodsdfw@homeprotech.com,
aspendfw@homeprotech.com,
atlascommunitieshou@homeprotech.com,
aus_wrnb@homeprotech.com,
aushvepms@homeprotech.com,
ausinstall@homeprotech.com,
auspreclose@homeprotech.com,
ausshowroomteam@homeprotech.com,
austechs@homeprotech.com,
austin@homeprotech.com,
austincityhomesaus@homeprotech.com,
austinsales@homeprotech.com,
auswarehouse@homeprotech.com,
autographhomeshou@homeprotech.com,
barcelonadfw@homeprotech.com,
bblivingdfw@homeprotech.com,
beazer-hou@homeprotech.com,
beazerdfw@homeprotech.com,
beazerhomes@homeprotech.com,
bellatordfw@homeprotech.com,
belleterrepropertieshou@homeprotech.com,
bethelhou@homeprotech.com,
bjcustomdfw@homeprotech.com,
blackburnaus@homeprotech.com,
bloomfielddfw@homeprotech.com,
bluebolt@homeprotech.com,
bluecypressdfw@homeprotech.com,
botghou@homeprotech.com,
breakglass@homeprotech.com,Yes
brentwoodbuildershou@homeprotech.com,
briarraintreehomeshou@homeprotech.com,
bridgehomesdfw@homeprotech.com,
brightlandaus@homeprotech.com,
brightlandsan@homeprotech.com,
brilliantdfw@homeprotech.com,
brittondfw@homeprotech.com,
brookfieldaus@homeprotech.com,
brookfielddfw@homeprotech.com,
brookfieldhou@homeprotech.com,
bryanelectricalhou@homeprotech.com,
bryantelectric@homeprotech.com,
bryantgeneralcontractors@homeprotech.com,
bryanweltydfw@homeprotech.com,
bsrpropertieshou@homeprotech.com,
buildersdfw@homeprotech.com,
c-rockhouston@homeprotech.com,
c1builderops@homeprotech.com,
cab@homeprotech.com,
cadencedfw@homeprotech.com,
cadisconstructionhou@homeprotech.com,
cagconstruction@homeprotech.com,
caldwellhou@homeprotech.com,
caliberhomesdfw@homeprotech.com,
call-recording-admin@homeprotech.com,Yes
call-recording-viewer@homeprotech.com,
cambridgedfw@homeprotech.com,
careers@homeprotech.com,
carnegiedfw@homeprotech.com,
casinacreeksan@homeprotech.com,
castlerockaus@homeprotech.com,
castlerockdfw@homeprotech.com,
castlerockhou@homeprotech.com,
castlerocksan@homeprotech.com,
cavenderdfw@homeprotech.com,
cbjenidfw@homeprotech.com,
cbraytondfw@homeprotech.com,
censeofronterahomeshou@homeprotech.com,
centraldispatch@homeprotech.com,
centrelivingdfw@homeprotech.com,
centricbilling@homeprotech.com,
centuryhou@homeprotech.com,
chadwickhomeshou@homeprotech.com,
charette-team@homeprotech.com,
charity@homeprotech.com,
chesmaraus@homeprotech.com,
chesmardfw@homeprotech.com,
chesmarhou@homeprotech.com,
chesmarsan@homeprotech.com,
cityparkdevelopmentdfw@homeprotech.com,
cityparkhomesdfw@homeprotech.com,
clare@homeprotech.com,
closing@homeprotech.com,
closinglists@homeprotech.com,
collections@homeprotech.com,
conraddfw@homeprotech.com,
contempobuilderhou@homeprotech.com,
copperstreetdfw@homeprotech.com,
coventryhou@homeprotech.com,
craftmenhomesaus@homeprotech.com,
crownridgehou@homeprotech.com,
customdfwpost@homeprotech.com,
customdfwpre@homeprotech.com,
customerservice@homeprotech.com,
customhoupost@homeprotech.com,
customhoupre@homeprotech.com,
cwcbuildershou@homeprotech.com,
cybersecurity-alerts@homeprotech.com,
cybersecurity@homeprotech.com,
dailyreportsdfw@homeprotech.com,
dailyreportshou@homeprotech.com,
dallas@homeprotech.com,
dallassales@homeprotech.com,
dalwarehouse@homeprotech.com,
darlingdfw@homeprotech.com,
darlinghou@homeprotech.com,
davidkaecustomhomeshou@homeprotech.com,
davidweekleyaus@homeprotech.com,
davidweekleydfw@homeprotech.com,
davidweekleyhou@homeprotech.com,
davidweekleysan@homeprotech.com,
dcpineshou@homeprotech.com,
dctxcustomhomesdfw@homeprotech.com,
designtechhou@homeprotech.com,
dfwcollections@homeprotech.com,
dfwcustomerservice@homeprotech.com,
dfwfixtures@homeprotech.com,
dfwhvepms@homeprotech.com,
dfwhvinstallers@homeprotech.com,
dfwhvproductionmgrs@homeprotech.com,
dfwhvservice@homeprotech.com,
dfwhvsupervisors@homeprotech.com,
dfwinsidesales@homeprotech.com,
dfwinstall@homeprotech.com,
dfwlvtechs@homeprotech.com,
dfwoutsidesalesmanagement@homeprotech.com,
dfwpostclosescheduling@homeprotech.com,
dfwsecurity@homeprotech.com,
dfwservice@homeprotech.com,
dfwshowroomteam@homeprotech.com,
dfwtechs@homeprotech.com,
dfwtechsupport@homeprotech.com,
distributedaudiodfw@homeprotech.com,
donlovedfw@homeprotech.com,
dreastdfw@homeprotech.com,
dreesaus@homeprotech.com,
dreesdfw@homeprotech.com,
dreeshou@homeprotech.com,
drhortonaus@homeprotech.com,
drhortoncentral@homeprotech.com,
drhortoneast@homeprotech.com,
drhortonnorth@homeprotech.com,
drhortonsouth@homeprotech.com,
drhortonwest@homeprotech.com,
drwestdfw@homeprotech.com,
dslconstruction_hou@homeprotech.com,
dsldhomeshou@homeprotech.com,
dslgchou@homeprotech.com,
dwpissues@homeprotech.com,
echocustomhou@homeprotech.com,
electricalaus@homeprotech.com,
electricalbids@homeprotech.com,
electricalcareers@homeprotech.com,
electricaldfw@homeprotech.com,
electricalhou@homeprotech.com,
elevatehou@homeprotech.com,
elmwooddfw@homeprotech.com,
empirehou@homeprotech.com,
employeeneeds@homeprotech.com,
engineering@homeprotech.com,
enterrahou@homeprotech.com,
estimation-team@homeprotech.com,
executives@homeprotech.com,Yes
ext_castlerockaustin@homeprotech.com,
ext_castlerockdallas@homeprotech.com,
ext_castlerockhouston@homeprotech.com,
ext_castlerocksanantonio@homeprotech.com,
field-ops-aus@homeprotech.com,
field-ops-dfw@homeprotech.com,
field-ops-hou@homeprotech.com,
file-archiving-admin@homeprotech.com,
firsttexasdfw@homeprotech.com,
fsscheduledfw@homeprotech.com,
fsschedulehou@homeprotech.com,
garycampdfw@homeprotech.com,
gccaus@homeprotech.com,
gcp-cost-alerting@homeprotech.com,
gehansan@homeprotech.com,
gfohomeaus@homeprotech.com,
gfohomedfw@homeprotech.com,
github.admin@homeprotech.com,Yes
glacierdfw@homeprotech.com,
gpwgroup@homeprotech.com,
gracemarkhou@homeprotech.com,
gracepointhou@homeprotech.com,
grahamhartdfw@homeprotech.com,
grandhomesdfw@homeprotech.com,
gravityhomesdfw@homeprotech.com,
greenecohou@homeprotech.com,
greyhavenhomessan@homeprotech.com,
habitatdfw@homeprotech.com,
harborclassichou@homeprotech.com,
harkhomesdfw@homeprotech.com,
harrisburghou@homeprotech.com,
hayessignaturedfw@homeprotech.com,
hfh_hou@homeprotech.com,
highdefinitiondfw@homeprotech.com,
highlandaus@homeprotech.com,
highlanddfw@homeprotech.com,
highlandhou@homeprotech.com,
highlandpecansquare@homeprotech.com,
hillwood@homeprotech.com,
hillwoodcontracts@homeprotech.com,
historymakerdfw@homeprotech.com,
historymakerhou@homeprotech.com,
homeboundaus@homeprotech.com,
homepro@homeprotech.com,
homesecuritydfw@homeprotech.com,
hometheaterdfw@homeprotech.com,
hortonns@homeprotech.com,
hortonscheduling@homeprotech.com,
houaushvservice@homeprotech.com,
houausservice@homeprotech.com,
houcontractors@homeprotech.com,
houhvepms@homeprotech.com,
houinstall@homeprotech.com,
houshowroomteam@homeprotech.com,
houston@homeprotech.com,
houstoncastlerock@homeprotech.com,
houstondarling@homeprotech.com,
houstondrhortonnorth@homeprotech.com,
houstondrhortonsouth@homeprotech.com,
houstongrandview@homeprotech.com,
houstonkb@homeprotech.com,
houstonmeritage@homeprotech.com,
houstonsales@homeprotech.com,
houstonshea@homeprotech.com,
houstonwestin@homeprotech.com,
houtechs@homeprotech.com,
houwarehouse@homeprotech.com,
hpcollaborate@homeprotech.com,
hpcustomdfw@homeprotech.com,
hpr-admin-gcp@homeprotech.com,
hpr-cisco-umbrella-admin@homeprotech.com,Yes
hpr-dev-appsheet@homeprotech.com,
hpr-dev-bot-gcp@homeprotech.com,
hpr-dev-gcp@homeprotech.com,
hpr-dev-salespro-ext-gcp@homeprotech.com,
hpr-docker-gcp@homeprotech.com,
hpr-gcp-argo-workflow-npe@homeprotech.com,
hpr-gcp-argo-workflow-prod@homeprotech.com,
hpr-gcp-argo-workflow-sbx@homeprotech.com,
hpr-gcp-argo-workflow-stg@homeprotech.com,
hpr-gcp-bigquery-lle-admin@homeprotech.com,Yes
hpr-gcp-billing@homeprotech.com,
hpr-gcp-cloudsql-lle-data-manage@homeprotech.com,Yes
hpr-gcp-cloudstorage-lle-data-manage@homeprotech.com,Yes
hpr-gcp-collab-lle-use@homeprotech.com,
hpr-gcp-hle-prod-support@homeprotech.com,Yes
hpr-gcp-infra-bigquery-edit@homeprotech.com,Yes
hpr-gcp-legacy-env-access@homeprotech.com,Yes
hpr-gcp-lle-prod-support@homeprotech.com,Yes
hpr-gcp-odoo-bigquery-edit@homeprotech.com,Yes
hpr-gcp-ond-dev@homeprotech.com,
hpr-gcp-org-bigquery-read@homeprotech.com,Yes
hpr-gcp-osi-dev@homeprotech.com,
hpr-gcp-read@homeprotech.com,Yes
hpr-gcp-test-only-001@homeprotech.com,
hpr-gcp-test-only-002@homeprotech.com,
hpr-google-passwordless-auth@homeprotech.com,
hpr-google-workspace-calendar-ext-share@homeprotech.com,Yes
hpr-grafana-admin@homeprotech.com,Yes
hpr-grafana-edit@homeprotech.com,Yes
hpr-infra-gcp@homeprotech.com,Yes
hpr-infra-service-desk-basic-access@homeprotech.com,Yes
hpr-jenkins-users@homeprotech.com,Yes
hpr-notify-sql@homeprotech.com,
hpr-npe-admin-gcp@homeprotech.com,Yes
hpr-prod-admin-gcp@homeprotech.com,Yes
hpr-prod-bot-gcp@homeprotech.com,Yes
hpr-sengrid-admin@homeprotech.com,Yes
hpr-srg-bitwarden-sso@homeprotech.com,Yes
hpr-srg-bypass-dlp@homeprotech.com,Yes
hpr-srg-chrome-remote-desktop-access@homeprotech.com,Yes
hpr-srg-executives-8rcgbarfcprrg1u7h4unuuoe@homeprotech.com,Yes
hpr-srg-gcp-postfix-dev@homeprotech.com,
hpr-srg-genai-for-workspace-access@homeprotech.com,Yes
hpr-srg-knowb4-admin@homeprotech.com,Yes
hpr-srg-sentinel-one-admin@homeprotech.com,Yes
hpr-sug-2sv@homeprotech.com,
hpr-sug-ipg-ops@homeprotech.com,Yes
hr@homeprotech.com,
hvbids@homeprotech.com,
hvdispatchvmailx@homeprotech.com,
hvoperationsdfw@homeprotech.com,
hvproductionaus@homeprotech.com,
hvproductiondfw@homeprotech.com,
hvproductionhou@homeprotech.com,
hvproductionmanagersdfw@homeprotech.com,
hvtechsupportvmailx@homeprotech.com,
hvwarrantydispatchvmailx@homeprotech.com,
iconiqhomeshou@homeprotech.com,
imaginationhomesdfw@homeprotech.com,
impressiondfw@homeprotech.com,
installersaus@homeprotech.com,
installersdfw@homeprotech.com,
installershou@homeprotech.com,
installerssan@homeprotech.com,
integritydfw@homeprotech.com,
ipadit@homeprotech.com,
isoftpulladmin@homeprotech.com,
isoftpulltest@homeprotech.com,
it-collab-inbox@homeprotech.com,
it@homeprotech.com,
italertsaussan@homeprotech.com,
italertsdfw@homeprotech.com,
italertshou@homeprotech.com,
itcorp@homeprotech.com,
itstaff@homeprotech.com,
j.colosimo1@homeprotech.com,
janussan@homeprotech.com,
jhoustondfw@homeprotech.com,
jlpbuilderssan@homeprotech.com,
jnsconstructionhou@homeprotech.com,
jobprep@homeprotech.com,
juniorestimatorteam@homeprotech.com,
kbe@homeprotech.com,
kbhomeaus@homeprotech.com,
kbhomedfw@homeprotech.com,
kbhomehou@homeprotech.com,
kelly-ranch-design-center-dfw@homeprotech.com,
kendallhou@homeprotech.com,
kenmarkdfw@homeprotech.com,
khovhou@homeprotech.com,
kindreddfw@homeprotech.com,
kindredsan@homeprotech.com,
kingstonhomeshou@homeprotech.com,
kingwoodbuildershou@homeprotech.com,
kinodhomes@homeprotech.com,
lakelanddfw@homeprotech.com,
lakestreethomeshou@homeprotech.com,
landondfw@homeprotech.com,
landonsecurity@homeprotech.com,
landseaaus@homeprotech.com,
leadershipalerts@homeprotech.com,
leadsaus@homeprotech.com,
leadsdfw@homeprotech.com,
leadshou@homeprotech.com,
learning@homeprotech.com,
legacydcsaus@homeprotech.com,
legacysixconstructiondfw@homeprotech.com,
lendfoundry-uat@homeprotech.com,
lennaraus@homeprotech.com,
lennardfw@homeprotech.com,
lennarhou@homeprotech.com,
lesikarcustomdfw@homeprotech.com,
leveltxhou@homeprotech.com,
lgidfw@homeprotech.com,
lilliandfw@homeprotech.com,
lovetthomeshou@homeprotech.com,
luminousaus@homeprotech.com,
luminoushou@homeprotech.com,
lv-field-service-techs@homeprotech.com,
magnoliaestateaus@homeprotech.com,
managersaus@homeprotech.com,
managersdfw@homeprotech.com,
managershou@homeprotech.com,
marketing@homeprotech.com,
martinboscampconstructiondfw@homeprotech.com,
martonehou@homeprotech.com,
mas@homeprotech.com,
mattamydfw@homeprotech.com,
maykushomesdfw@homeprotech.com,
mcooperdfw@homeprotech.com,
meritagedfw@homeprotech.com,
meritagehomesaus@homeprotech.com,
meritagehou@homeprotech.com,
mhiaus@homeprotech.com,
mhidfw@homeprotech.com,
mi@homeprotech.com,
midcityaus@homeprotech.com,
migration@homeprotech.com,
mihomesaus@homeprotech.com,
mihomesdfw@homeprotech.com,
mike@homeprotech.com,
milestoneaus@homeprotech.com,
missingredlines@homeprotech.com,
modelhomeadc@homeprotech.com,
modelhomesaus@homeprotech.com,
modelhomeshou@homeprotech.com,
modelhomessan@homeprotech.com,
moderndwellingsllchou@homeprotech.com,
motesdfw@homeprotech.com,
mpdesigndfw@homeprotech.com,
mtrdallas@homeprotech.com,
mynewhome@homeprotech.com,
netzedfw@homeprotech.com,
newbuilder@homeprotech.com,
normandydfw@homeprotech.com,
npe_dev@homeprotech.com,Yes
ntdreamteam@homeprotech.com,
odkinstall@homeprotech.com,
odoocomm@homeprotech.com,
oleriodfw@homeprotech.com,
oliviaclarkedfw@homeprotech.com,
omgbuildershou@homeprotech.com,
opsexternal@homeprotech.com,
opsinternal@homeprotech.com,
ourcountrydfw@homeprotech.com,
